fiscal_year,fiscal_month,product_code,product_name,group_code,group_name,line_name,color,avg_unit_price,forecast_qty_base,forecast_revenue_base,forecast_qty_conservative,forecast_qty_optimistic,forecast_revenue_conservative,forecast_revenue_optimistic,calibration_factor,selected_forecast_model,forecast_selection_type
2026,4,1040010000080000,Xe đạp Thống Nhất TE Batman16 Ghi,KIDBIKE_2,Xe trẻ em nhóm 2,Xe TE Batman16 (IP - Bản quyền),Ghi,1115859.0657894737,143.1,159679432.3144737,114.48,171.72,127743545.85157895,191615318.77736843,0.9,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000225002009000,Xe đạp Thống Nhất New 26 Hồng,CITYBIKE_P,Xe phổ thông,Xe New 26,Hồng,1593496.2717391304,98.45,156879707.9527174,78.76,118.14,125503766.36217391,188255649.54326087,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Xanh Santorini,1526882.3046357615,101.42,154856403.33615893,81.13600000000001,121.704,123885122.66892716,185827684.0033907,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000125002002000,Xe đạp Thống Nhất Puppy 20 Trắng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Trắng,1230135.8993710692,118.69,146004829.8963522,94.952,142.428,116803863.91708176,175205795.87562263,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Nâu,1568278.6235294119,92.29000000000002,144736434.16552946,73.83200000000002,110.74800000000002,115789147.33242357,173683720.99863532,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,CITYBIKE_P,Xe phổ thông,Xe MTB 26 02,Xanh Dương,1744969.387755102,80.85000000000001,141080775.0,64.68,97.02000000000001,112864620.00000001,169296930.00000003,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,CITYBIKE_P,Xe phổ thông,Xe GN 06-26,Coban,1514911.171641791,92.72999999999999,140477712.94634327,74.184,111.27599999999998,112382170.35707462,168573255.5356119,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000208002003000,Xe đạp Thống Nhất 219-24 Đỏ đun,CITYBIKE_P,Xe phổ thông,Xe 219-24,Đỏ Đun,1374543.082191781,100.32,137894162.00547945,80.256,120.38399999999999,110315329.60438357,165472994.40657532,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,1000270020150000,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,KIDBIKE_2,Xe trẻ em nhóm 2,Xe Spaceboy 16,Nâu,940620.8625,143.37,134856813.056625,114.69600000000001,172.044,107885450.44530001,161828175.66795,0.9,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,1000400050200000,Xe đạp Thống Nhất MTB SPD 27.5 17 Xanh,Unknown,Unknown,Unknown,Xanh,2864482.1136363638,43.78,125407026.935,35.024,52.536,100325621.54800001,150488432.322,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,1000320050020000,Xe đạp Thống Nhất Road RPD 700C V5 Trắng,Unknown,Unknown,Unknown,Trắng,2776337.9545454546,44.88,124602047.4,35.904,53.856,99681637.92000002,149522456.88,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000208002023000,Xe đạp Thống Nhất 219-24 Xanh Tím,CITYBIKE_P,Xe phổ thông,Xe 219-24,Xanh Tím,1405879.6496350365,86.79,122016294.79182482,69.432,104.14800000000001,97613035.83345985,146419553.75018978,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
